id,date,type,city,state,ideology,group,description,image
2070,05/31/2018,White Supremacist Propaganda,Rising Sun,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed flyers that read: ""Keep America American: : Report any and all illegal aliens...,"" ""America: Revolution is Tradition,"" and ""Democracy: The freedom to vote and not get what you voted for.""",https://www.adl.org/sites/default/files/styles/max_650x650/public/2018-07/038--Patriot-Front---Keep-America-American.jpg?itok=nU6f_HQZ
960,05/26/2018,White Supremacist Propaganda,Gaithersburg,MD,Right Wing (White Supremacist),,"An unknown person or group posted white supremacist propaganda that read: ""White Genocide is real. White people will be a minority in a country founded by our ancestors...If we don't put an end to this now and reverse our own replacement the future of our children, our brothers, our sisters, and our spouses will be widdled [sic] down to nothing.""",
210,05/22/2018,White Supremacist Propaganda,Bel Air,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed flyers that read: ""Democracy: The freedom to vote and not get what you voted for"" and ""Keep America American.""",https://www.adl.org/sites/default/files/styles/max_650x650/public/2018-07/038--Patriot-Front---Keep-America-American.jpg?itok=nU6f_HQZ
868,05/08/2018,White Supremacist Propaganda,Fallston,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed flyers that read: ""Keep America American: Report any and all illegal aliens...""",https://www.adl.org/sites/default/files/styles/max_650x650/public/2018-07/038--Patriot-Front---Keep-America-American.jpg?itok=nU6f_HQZ
6035,05/2018,Anti-Semitic Incident:Harassment,Gaithersburg,MD,,,An unknown person or group distributed anti-Semitic and white supremacist flyers to homes in a residential neighborhood.,
6061,05/2018,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"An anti-Semitic message that read: ""Dear Jews Stop pushing war with Russia!"" was written on a United States Postal Service building.",
935,04/24/2018,White Supremacist Propaganda,Frederick,MD,Right Wing (White Supremacist),Patriots of Appalachia,"Patriots of Appalachia, an alt right group, distributed flyers advertising their group that read: ""Patriots of Appalachia. Patriotic fraternity dedicated to survival, preparation, and fitness.""",
1019,04/23/2018,White Supremacist Propaganda,Hagerstown,MD,Right Wing (White Supremacist),Patriots of Appalachia,"Patriots of Appalachia, an alt right group, distributed flyers advertising their group that read: ""Patriots of Appalachia: Patriotic fraternity dedicated to survival, preparation, and fitness.""",
1787,04/19/2018,White Supremacist Propaganda,North East,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed flyers at Cecil College. The flyers read: ""Keep America American: Report any and all illegal aliens....""",
5850,04/2018,Anti-Semitic Incident:Harassment,College Park,MD,,,"The website of the University System of Maryland was hacked to display a call of ""#DeathToZionist.""",
5914,04/2018,Anti-Semitic Incident:Assault,Baltimore,MD,,,"Two Jewish students at Towson University were physically assaulted and verbally accosted by two people who followed them and shouted ""fucking Jews"" and other ethnic slurs.",
209,03/25/2018,White Supremacist Propaganda,Bel Air,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed flyers at Harford Community College. The flyers read: ""America: Revolution is Tradition,"" ""Keep America American: Report any and all illegal aliens...,"" ""Life, Liberty, and the Pursuit of Victory,"" and ""Patriots! Reclaim your Birthright.""",https://www.adl.org/sites/default/files/styles/max_650x650/public/2018-07/038--Patriot-Front---Keep-America-American.jpg?itok=nU6f_HQZ
5658,02/2018,Anti-Semitic Incident:Vandalism,Dundalk,MD,,,Swastika drawing discovered on an ATM machine.,
187,01/19/2018,White Supremacist Propaganda,Baltimore,MD,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, hung a banner at a park that read: ""Who's Next?""",
208,01/19/2018,White Supremacist Propaganda,Bel Air,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed flyers that read: ""America: Revolution Is Tradition.""",
5527,01/2018,Anti-Semitic Incident:Harassment,Marriottsville,MD,,,Ongoing anti-Semitic harassment and bullying.,
1515,12/18/2017,White Supremacist Propaganda,Maryland Line,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, hung a banner in Maryland. It read: ""Send them all back. Blood and Soil.""",
3638,12/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"""Dear Jews stop pushing war with Russia"" and ""Historical Revisionism - Saying what the Jews did"" written on abandoned building.",
3639,12/2017,Anti-Semitic Incident:Vandalism,Westminster,MD,,,A swastika was drawn backwards into wet cement at the base of a communications pole.,
1514,11/20/2017,White Supremacist Propaganda,Maryland Line,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers in Maryland.",
1973,11/19/2017,White Supremacist Event,Poolesville,MD,Right Wing (White Supremacist),National Policy Institute,"The National Policy Institute organized a winter conference at Rockland Farms, a winery and events venue, but were asked to leave when the owners learned who they were.",
2089,11/14/2017,White Supremacist Propaganda,Rockville,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers at Montgomery College Campus in Maryland. The flyers read: ""Not Here, Not Ever [eagle with hammer and sickle].""",https://www.adl.org/sites/default/files/styles/max_1300x1300/public/2018-07/041--Patriot-Front---not-here-not-ever.jpg?itok=rvV9xRVi
2488,11/08/2017,White Supremacist Propaganda,Towson,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers at Towson University which said ""Will your speech be hate speech?""",
3636,11/2017,Anti-Semitic Incident:Vandalism,Silver Spring,MD,,,Confidential,
